Champagne mermaid	total:5	splice_keyword: champagne mermaid	2015-03-10 08:38:42
short prom dresses	total:1576	splice_keyword: short prom dresses	2015-03-10 09:12:02
prom dresses with sleeves	total:36	splice_keyword: prom dresses with sleeves	2015-03-10 10:04:05
bolero	total:15	splice_keyword: bolero	2015-03-10 15:02:48
Mermaid	total:1678	splice_keyword: mermaid	2015-03-10 19:23:48
burgundy	total:51	splice_keyword: burgundy	2015-03-10 22:42:15
burgundy	total:51	splice_keyword: burgundy	2015-03-10 22:42:23
blush pink	total:2	splice_keyword: blush pink	2015-03-10 22:42:30
burgundy	total:51	splice_keyword: burgundy	2015-03-10 22:42:30
pink	total:2599	splice_keyword: pink	2015-03-10 22:42:36
chic tule	total:0	splice_keyword: chic tule	2015-03-10 22:44:21
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:44:32
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:44:40
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:45:36
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:45:50
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:00
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:06
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:11
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:17
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:24
mermaid prom dresses	total:906	splice_keyword: mermaid prom dresses	2015-03-10 22:46:35
Shrug	total:6	splice_keyword: shrug	2015-03-11 01:15:03
High low wedding dress	total:0	splice_keyword: high low wedding dress	2015-03-11 04:42:12
prom dress with sleeves	total:7	splice_keyword: prom dress with sleeves	2015-03-11 05:32:34
prom 100	total:117	splice_keyword: prom 100	2015-03-11 07:12:18
Dress with thigh split	total:0	splice_keyword: dress with thigh split	2015-03-11 10:21:26
Champagne	total:119	splice_keyword: champagne	2015-03-11 11:03:55
Champagne prom dress	total:18	splice_keyword: champagne prom dress	2015-03-11 11:04:06
short prom dresses	total:1576	splice_keyword: short prom dresses	2015-03-11 17:18:39
neon pink long dress	total:0	splice_keyword: neon pink long dress	2015-03-11 22:24:57
neon pink dress	total:0	splice_keyword: neon pink dress	2015-03-11 22:25:06
Sexy open back long prom dresses v neck chiffon sequins party gowns  evening dresses	total:0	splice_keyword: sexy open back long prom dresses v neck chiffon sequins party gowns evening	2015-03-12 05:49:39
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:04:27
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:05:00
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:05:09
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:05:15
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:05:29
long pink dress	total:87	splice_keyword: long pink dress	2015-03-12 06:10:38
longsleeve long pink dress	total:0	splice_keyword: longsleeve long pink dress	2015-03-12 06:10:54
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:20:48
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:20:58
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:21:16
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:21:39
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:21:51
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:22:13
black prom dress	total:745	splice_keyword: black prom dress	2015-03-12 06:22:22
cap sleeve dress	total:0	splice_keyword: cap sleeve dress	2015-03-12 06:22:42
Black dresses	total:2324	splice_keyword: black dresses	2015-03-12 06:51:21
pink	total:2599	splice_keyword: pink	2015-03-12 11:25:08
prom dress	total:4282	splice_keyword: prom dress	2015-03-12 12:57:35
prom dress	total:4282	splice_keyword: prom dress	2015-03-12 12:58:10
prom dress	total:4282	splice_keyword: prom dress	2015-03-12 12:58:18
Prom dress	total:4282	splice_keyword: prom dress	2015-03-12 16:04:32
